,profile_id,latitude,longitude,time,TrackRadius,Year,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,MAST_Station,Station,Gear,Depth.bot,Water.surf,Water.bot,meanSa,meanAcod,meanPol,meanCap
0,os1701l1c010_ctd,71.0,200.7,2017-08-11 15:43:46+00:00,15.092875662116827,2017,47.5057273417433,31.8603,31.7004,31.71730909090909,31.85751666666667,31.80423265306123,6.483,7.6764,7.585418181818182,6.490316666666666,6.928585714285713,0.0,,,,,,,,2.6295055740074047,1.596485527075954,3.380792880866746
1,os1701l2c062_ctd,72.5,194.8,2017-08-29 14:42:39+00:00,15.091328952323497,2017,45.52280000610599,32.6617,31.4536,31.543018181818184,32.65756666666666,32.18648723404256,1.8915,6.6152,5.135336363636363,1.8924666666666667,4.880304255319149,0.0,,,,,,,35.68055129094827,0.9541385975360768,0.804669622755219,0.0
2,os1701l2c063_ctd,72.5,196.5,2017-08-29 22:39:37+00:00,14.50358772648834,2017,44.5332811944484,32.5589,31.5288,31.57882727272727,32.55636666666667,32.06465869565216,-0.0975,6.0815,4.984727272727271,1.3278,3.9487108695652187,0.0,,,,,,,,2.2358513111940663,1.4937811006901518,0.0
3,os1701l2c065_ctd,72.5,198.1,2017-08-30 14:19:35+00:00,14.50358772648834,2017,39.58562534573787,32.571,31.0073,31.01238181818181,32.56955,31.816743902439026,2.3396,5.7675,4.492145454545454,2.3431666666666664,4.327334146341461,0.0,,,,,,,,2.4284254212475216,0.5184629908558774,0.0
4,os1701l2c066_ctd,72.5,199.8,2017-08-30 19:42:32+00:00,15.1750309489898,2017,42.554228112254044,32.4494,29.6893,29.6913,32.44668333333333,31.36530454545454,0.7639,6.296,3.464418181818182,1.1068666666666667,3.759102272727273,0.0,,,,,,,,8.283768846103149,0.28527634487559755,0.0016501074073185836
5,os1701l2c068_ctd,72.5,201.5,2017-08-31 03:47:17+00:00,11.697591978636602,2017,57.39664272999281,32.3028,28.3971,28.511236363636364,32.302366666666664,30.965689830508474,-0.9014,3.674,3.663818181818182,-0.49784999999999996,1.0274288135593217,0.0,,,,,,,,1.419951297786173,0.40863035134943265,0.0
6,os1701l2c069_ctd,72.6,203.1,2017-08-31 20:09:36+00:00,6.292322382491279,2017,297.6927533586363,34.7414,25.4868,25.49426363636364,34.738033333333334,32.284539393939404,-1.4022,3.4271,3.2294727272727273,0.5308833333333333,-0.12797777777777788,0.0,,,,,,,,,,
7,os1701l2c070_ctd,72.4,202.9,2017-09-01 01:41:46+00:00,4.073715491680402,2017,232.4572437597614,34.4665,26.9376,26.971063636363635,34.42525,32.46075042372883,-1.3211,7.5269,4.171290909090909,-0.1730666666666667,0.697595338983051,0.0,,,,,,,,2.127041963495188,1.218792447384459,0.0
8,os1701l2c071_ctd,72.3,202.6,2017-09-01 04:36:26+00:00,4.073715491680402,2017,111.81104622927471,32.4502,29.2531,29.265954545454544,32.42275,31.517960360360366,-0.6874,4.3537,4.347027272727273,-0.51195,1.1271585585585575,0.0,,,,,,,,0.9416795223872594,0.5395812162804255,0.0
9,os1701l2c072_ctd,72.0,202.8,2017-09-01 14:34:32+00:00,9.224901749238995,2017,75.20812324582008,32.1487,29.5362,29.539381818181823,32.124383333333334,30.959357142857147,-0.9478,4.248,4.24299090909091,0.04629999999999999,1.6170012987012996,0.0,,,,,,,,3.973967745342973,0.4967459681679315,0.0
